timestamp,symbol,open,high,low,close,trades,volume,vwap
2021-04-27T00:00:00.000Z,XBTUSD,54025,54150,53363.5,53490.5,26415,188887308,53770.7875408254
2021-04-27T04:00:00.000Z,XBTUSD,53490.5,54900,53290.5,54561,30906,255020973,54332.1955802432
2021-04-27T08:00:00.000Z,XBTUSD,54561,55235,54405.5,55170,33548,259498834,54721.205716001
2021-04-27T12:00:00.000Z,XBTUSD,55170,55386.5,54437,55051,38359,326397811,54935.4477745771
2021-04-27T16:00:00.000Z,XBTUSD,55051,55112,54345,54809.5,31804,248648081,54811.826998953
2021-04-27T20:00:00.000Z,XBTUSD,54809.5,55487.5,54800.5,55050.5,23128,159141693,55092.0514404543
2021-04-28T00:00:00.000Z,XBTUSD,55050.5,55734,54810,54810.5,29550,219350793,55343.5268629713
2021-04-28T04:00:00.000Z,XBTUSD,54810.5,54980,53893.5,54300,36128,317316472,54443.5984496556
2021-04-28T08:00:00.000Z,XBTUSD,54300,55070.5,53980,54869.5,31243,247758873,54486.0377085463
2021-04-28T12:00:00.000Z,XBTUSD,54869.5,55300,54123,54351.5,33288,243835612,54741.732399333
2021-04-28T16:00:00.000Z,XBTUSD,54351.5,55500,54274.5,55448,26437,210200630,54806.5095409745
2021-04-28T20:00:00.000Z,XBTUSD,55448,56494,54050,54869.5,49074,565272203,55079.0157896603
2021-04-29T00:00:00.000Z,XBTUSD,54869.5,55202.5,54127,54303.5,28927,239127095,54653.2969467714
2021-04-29T04:00:00.000Z,XBTUSD,54303.5,54481.5,53534,54444,29964,272354028,54071.6673849651
2021-04-29T08:00:00.000Z,XBTUSD,54444,54750,53806.5,54348.5,32845,301643713,54386.6330370117
2021-04-29T12:00:00.000Z,XBTUSD,54348.5,54545,53329,53748.5,37305,348142293,53871.0840190611
2021-04-29T16:00:00.000Z,XBTUSD,53748.5,53800,52519,52868,38360,341146573,53028.8781141429
2021-04-29T20:00:00.000Z,XBTUSD,52868,53634,52381,53524,24455,199034369,53066.7689530378
2021-04-30T00:00:00.000Z,XBTUSD,53524,53828.5,53064,53691.5,28775,247219551,53518.3978784394
2021-04-30T04:00:00.000Z,XBTUSD,53691.5,54570.5,53691,54362.5,26848,223450188,54242.7171328567
2021-04-30T08:00:00.000Z,XBTUSD,54362.5,54847.5,54122,54282,23700,177393680,54472.5878838359
2021-04-30T12:00:00.000Z,XBTUSD,54282,57264.5,54263.5,57192,58417,645871060,55936.0542648425
2021-04-30T16:00:00.000Z,XBTUSD,57192,57390,56440,57127,31943,281462313,56913.479174422
2021-04-30T20:00:00.000Z,XBTUSD,57127,57966.5,56545,57748.5,29569,266136340,57251.520393021
2021-05-01T00:00:00.000Z,XBTUSD,57748.5,58500,57516,58247,31716,274524436,58122.0156431352
2021-05-01T04:00:00.000Z,XBTUSD,58247,58497,57720,57800,22548,187868993,58119.3302677591
2021-05-01T08:00:00.000Z,XBTUSD,57800,58036.5,57257.5,57858,26455,234783902,57668.4598633602
2021-05-01T12:00:00.000Z,XBTUSD,57858,58123,57112,57420,27031,225823850,57681.2801206566
2021-05-01T16:00:00.000Z,XBTUSD,57420,58076.5,57318,57854,21019,144247255,57685.4974487283
2021-05-01T20:00:00.000Z,XBTUSD,57854,58021.5,57368,57874.5,14653,95766185,57746.7224715696
2021-05-02T00:00:00.000Z,XBTUSD,57874.5,57980,56449,56545.5,25112,212196204,57178.6788629069
